# deterministic  lcomb_contract  random_contraction  RRC  
40  10  0.05 0.00 0.00 0.00 
40  20  0.05 0.00 0.00 0.67 
40  30  0.05 0.11 0.00 2.65 
40  40  0.05 0.14 0.00 11.03 
40  50  0.06 0.14 0.00 20.08 
40  60  0.05 0.14 0.00 20.08 
40  70  0.07 0.14 0.00 20.00 
40  80  0.05 0.14 0.00 20.01 
40  90  0.05 0.14 0.00 19.99 
40  100  0.05 0.17 0.00 20.13 
40  200  0.05 0.14 0.00 20.00 
40  300  0.05 0.15 0.00 19.95 
40  400  0.05 0.14 0.00 20.06 
40  500  0.07 0.14 0.00 19.96 
40  600  0.05 0.14 0.00 19.96 
40  700  0.07 0.14 0.00 20.10 
40  800  0.06 0.14 0.00 20.17 
40  900  0.05 0.15 0.00 20.03
40  1000  0.06 0.15 0.00 20.01
40  2000  0.06 0.15 0.01 20.29
40  3000  0.07 0.16 0.01 20.08
40  4000  0.07 0.15 0.02 20.07
40  5000  0.07 0.15 0.01 20.25
40  6000  0.07 0.19 0.02 20.14
40  7000  0.07 0.17 0.02 20.15
40  8000  0.07 0.17 0.02 20.96
40  9000  0.08 0.20 0.03 20.85
40  10000  0.08 0.18 0.05 21.32
40  20000  0.11 0.20 0.06 20.52
40  30000  0.16 0.23 0.09 20.80
40  40000  0.20 0.26 0.13 21.08
40  50000  0.19 0.31 0.16 21.59
40  60000  0.23 0.33 0.19 21.80
40  70000  0.25 0.35 0.21 21.88
40  80000  0.28 0.38 0.26 22.62
40  90000  0.31 0.41 0.28 22.44
40  100000  0.34 0.46 0.31 22.63
40  200000  0.70 0.85 0.67 27.59
40  300000  0.94 1.11 0.93 29.04
40  400000  1.17 1.37 1.21 32.18
40  500000  1.49 1.71 1.52 35.37
40  600000  1.72 2.01 1.88 37.41
40  700000  2.06 2.31 2.15 42.74
40  800000  2.30 2.77 2.45 43.82
40  900000  2.57 2.95 2.87 47.90
